Sample proton lifetime predictions (in years):
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.700, y_u: 0.550, y_d: 0.400 => tau_p: 4.618e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.700, y_u: 0.550, y_d: 0.450 => tau_p: 4.504e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.700, y_u: 0.550, y_d: 0.500 => tau_p: 4.394e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.700, y_u: 0.600, y_d: 0.400 => tau_p: 4.534e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.700, y_u: 0.600, y_d: 0.450 => tau_p: 4.413e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.700, y_u: 0.600, y_d: 0.500 => tau_p: 4.297e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.750, y_u: 0.500, y_d: 0.400 => tau_p: 2.774e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.750, y_u: 0.500, y_d: 0.450 => tau_p: 2.719e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.750, y_u: 0.500, y_d: 0.500 => tau_p: 2.665e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.750, y_u: 0.550, y_d: 0.400 => tau_p: 2.730e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.750, y_u: 0.550, y_d: 0.450 => tau_p: 2.670e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.750, y_u: 0.550, y_d: 0.500 => tau_p: 2.612e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.750, y_u: 0.600, y_d: 0.400 => tau_p: 2.686e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.750, y_u: 0.600, y_d: 0.450 => tau_p: 2.622e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.750, y_u: 0.600, y_d: 0.500 => tau_p: 2.561e+37 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.650, y_u: 0.500, y_d: 0.400 => tau_p: 1.758e+37 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.650, y_u: 0.500, y_d: 0.450 => tau_p: 1.474e+37 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.650, y_u: 0.500, y_d: 0.500 => tau_p: 1.254e+37 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.650, y_u: 0.550, y_d: 0.400 => tau_p: 1.525e+37 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.650, y_u: 0.550, y_d: 0.450 => tau_p: 1.274e+37 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.650, y_u: 0.550, y_d: 0.500 => tau_p: 1.080e+37 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.650, y_u: 0.600, y_d: 0.400 => tau_p: 1.336e+37 years
